Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/examples/Condition-ra-condition32pat03.json	1658	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	59	48	0	0	0	0	0	0
input/examples/Condition-ra-condition33pat01.json	1622	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	107	42	0	0	0	0	0	0
input/examples/Condition-ra-condition35pat03.json	1859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	52	0	0	0	0	0	0
input/examples/Condition-ra-condition42pat03.json	1783	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	109	54	0	0	0	0	0	0
input/examples/Condition-ra-condition43pat01.json	1879	19	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	72	42	0	0	0	0	0	0
input/examples/Condition-ra-condition44pat01.json	1708	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	46	0	0	0	0	0	0
input/examples/Condition-ra-conditionR01pat01.json	1762	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	112	43	0	0	0	0	0	0
input/examples/DocumentReference-ra-documentreference01pat01.json	2135	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	75	77	0	0	0	0	0	0
input/examples/Encounter-ra-encounter01pat03.json	1342	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	110	85	0	0	0	0	0	0
input/examples/Encounter-ra-encounter02pat01.json	1354	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	82	0	0	0	0	0	0
input/examples/Encounter-ra-encounter03pat01.json	1517	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	135	0	0	0	0	0	0
input/examples/Encounter-ra-encounter04pat03.json	1262	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	101	93	0	0	0	0	0	0
input/examples/Encounter-ra-encounter05pat03.json	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	98	0	0	0	0	0	0
input/examples/Encounter-ra-encounter06pat03.json	1262	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	99	0	0	0	0	0	0
input/examples/Encounter-ra-encounter07pat03.json	1262	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	102	90	0	0	0	0	0	0
input/examples/Encounter-ra-encounter08pat01.json	1274	14	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	103	104	0	0	0	0	0	0
input/examples/Encounter-ra-encounter09pat01.json	1274	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	112	92	0	0	0	0	0	0
input/examples/Encounter-ra-encounter11pat01.json	1274	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	114	0	0	0	0	0	0
input/examples/Encounter-ra-encounter15pat03.json	1262	12	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	72	113	0	0	0	0	0	0
input/examples/Encounter-ra-encounter16pat03.json	1262	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	43	87	0	0	0	0	0	0
input/examples/Encounter-ra-encounter19pat03.json	1165	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	26	81	0	0	0	0	0	0
input/examples/Encounter-ra-encounter21pat03.json	1262	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	49	93	0	0	0	0	0	0
input/examples/Encounter-ra-encounter22pat03.json	1262	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	53	108	0	0	0	0	0	0
input/examples/Encounter-ra-encounter31pat02.json	1260	16	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	118	110	0	0	0	0	0	0
input/examples/Encounter-ra-encounter35pat03.json	1262	8	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	66	93	0	0	0	0	0	0
input/examples/Encounter-ra-encounter42pat03.json	1262	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	46	82	0	0	0	0	0	0
input/examples/Encounter-ra-encounter43pat01.json	1274	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	58	83	0	0	0	0	0	0
input/examples/Encounter-ra-encounter44pat01.json	1274	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	47	87	0	0	0	0	0	0
input/examples/Encounter-ra-encounter45pat01.json	1274	8	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	62	107	0	0	0	0	0	0
input/examples/Encounter-ra-encounter46pat01.json	1882	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	65	124	0	0	0	0	0	0
input/examples/Group-ra-group01.json	818	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	50	120	0	0	0	0	0	0
input/examples/Group-ra-group02.json	932	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	47	128	0	0	0	0	0	0
input/examples/Measure-ra-model-example01.json	1529	18	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	63	298	0	0	0	0	0	0
input/examples/Measure-ra-model-example02.json	1538	2	0	0	0	0	0	0	2	26	0	0	0	0	0	0	0	0	0	1	0	62	280	0	0	0	0	0	0
input/examples/Measure-ra-model-example03.json	1558	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	68	293	0	0	0	0	0	0
input/examples/MeasureReport-ra-datax-measurereport01.json	2118	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	146	0	0	0	0	0	0
input/examples/MeasureReport-ra-measurereport01-with-remark.json	36414	13	0	0	2	0	0	0	10	35	0	0	0	0	0	0	0	0	0	0	0	255	326	0	0	0	0	0	0
input/examples/MeasureReport-ra-measurereport01.json	30582	13	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	240	316	0	0	0	0	0	0
input/examples/MeasureReport-ra-measurereport02.json	18646	8	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	178	229	0	0	0	0	0	0
input/examples/MeasureReport-ra-measurereport03.json	6153	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	120	139	0	0	0	0	0	0
input/examples/MeasureReport-ra-measurereport04.json	35648	16	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	261	391	0	0	0	0	0	0
input/examples/MeasureReport-ra-measurereport05.json	17612	17	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	454	215	0	0	0	0	0	0
