URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/subject-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.775",SubjectType,Subject type,"Possible types of subjects.","StructureDefinition/ra-model-measure","hl7.fhir.r4.core"
http://hl7.org/fhir/us/core/ValueSet/us-core-condition-code,7.0.0,active,"2.16.840.1.113883.4.642.40.2.48.21",USCoreConditionCodes,US Core Condition Codes,"This describes the problem. Diagnosis/Problem List is broadly defined as a series of brief statements that catalog a patient's medical, nursing, dental, social, preventative and psychiatric events and issues that are relevant to that patient's healthcare (e.g., signs, symptoms, and defined conditions). ICD-10 is appropriate for Diagnosis information, and ICD-9 for historical information.","StructureDefinition/ra-dxCode,StructureDefinition/ra-qualifyingDxCode","hl7.terminology,SCT,FHIR"
http://hl7.org/fhir/us/davinci-ra/ValueSet/cc-type,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.48.1",RiskAdjustmentConditionCategoryTypeVS,Condition Category Type,"Type of value-based performance reporting performance metric.","StructureDefinition/ra-ccType,OperationDefinition/risk-gap","Internal"
http://hl7.org/fhir/us/davinci-ra/ValueSet/coding-gap-remark,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.48.2",CodingGapRemarkVS,Coding Gap Remark,"Coded remark for a coding gap.","StructureDefinition/ra-ccRemark","Internal"
http://hl7.org/fhir/us/davinci-ra/ValueSet/confidence-scale,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.48.3",ConfidenceScale,RA Confidence Scale,"Codes that describe the confidence scale of a risk adjustment Condition Category (CC).","StructureDefinition/ra-confidenceScale","SCT"
http://hl7.org/fhir/us/davinci-ra/ValueSet/evidence-status,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.48.4",RiskAdjustmentEvidenceStatusVS,Evidence Status,"Codes that indicate whether a coding gap is an open-gap, invalid-gap, closed-gap, or pending.","StructureDefinition/ra-evidenceStatus,OperationDefinition/risk-gap","Internal"
http://hl7.org/fhir/us/davinci-ra/ValueSet/hierarchical-status,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.48.5",RiskAdjustmenthierarchicalStatusVS,Hierarchical Status,"Codes that indicate how hierarchies were applied to a Condition Category (CC), and if applied, whether the Condition Category (CC) is superseded.","StructureDefinition/ra-hierarchicalStatus","Internal"
http://hl7.org/fhir/us/davinci-ra/ValueSet/remark-reason,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.48.6",RemarkReasonVS,Remark Reason,"Reason for the remark","StructureDefinition/ra-ccRemark","Internal"
http://hl7.org/fhir/us/davinci-ra/ValueSet/remark-type,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.48.21",RemarkTypeVS,Remark Type,"Type of Condition Category Remark","StructureDefinition/ra-ccRemark","Internal"
http://hl7.org/fhir/us/davinci-ra/ValueSet/sample-cmshcc,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.48.7",SampleCMSHCC,Sample CMS Hierarchical Condition Category,"This is a sample of the concepts that can be found in the CMS Hierarchical Condition Categories (CMS-HCC) code system version 24. The source of the codes included in this example was published at https://www.cms.gov/Medicare/Health-Plans/MedicareAdvtgSpecRateStats/Downloads/Announcement2020.pdf. The CMS-HCC model uses more than 9,000 ICD-10-CM codes, which are mapped to condition categories (CCs) that predict costs well. The condition categories (CCs) are based on diagnoses clinically related to one another and with similar predicted cost implications. Hierarchies are imposed on the Condition Categories (CCs) to capture the most costly diagnoses. Hierarchy logic is imposed on certain Condition Categories (CCs) to account for different hierarchical costs, thus, the term Hierarchical Condition Category, or HCC.","StructureDefinition/ra-datax-measurereport,StructureDefinition/ra-measurereport,StructureDefinition/ra-measurereport-with-remark","THO"
