URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/us/davinci-ra/CodeSystem/cc-type,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.16.1",RiskAdjustmentConditionCategoryType,Risk Adjustment Condition Category Type Codes,"Code sytstem that indicates whether it is a suspected Condition Category (CC) gap, a historic Condition Category (CC) gap, or a net-new Condition Category (CC). Historic, suspected, and net-new are mutually exclusive.",
http://hl7.org/fhir/us/davinci-ra/CodeSystem/coding-gap-remark,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.16.2",CodingGapRemark,Coding Gap Remark Codes,"Code sytstem that indicates coded remark for a coding gap.",
http://hl7.org/fhir/us/davinci-ra/CodeSystem/evidence-status,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.16.3",RiskAdjustmentEvidenceStatus,Risk Adjustment Evidence Status Codes,"Code System that indicates whether a coding gap is an open-gap, invalid-gap, closed-gap or pending",
http://hl7.org/fhir/us/davinci-ra/CodeSystem/hierarchical-status,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.16.4",RiskAdjustmenthierarchicalStatus,Risk Adjustment Hierarchical Status Codes,"Code system that indicates how hierarchies were applied to a Condition Category (CC), and if applied, whether the Condition Category (CC) is superseded.",
http://hl7.org/fhir/us/davinci-ra/CodeSystem/ra-temp,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.16.8",RATemporaryCodes,RA Temporary Code System,"Temporary code system defined in this implementation guide",
http://hl7.org/fhir/us/davinci-ra/CodeSystem/remark-reason,3.0.0-ballot,active,"2.16.840.1.113883.4.642.40.29.16.5",RemarkReason,Remark Reason Codes,"Reason codes for remark",
