Fragment,Count,Time (ms),Size (bytes)
Cross.list-name-practitionerroles-xml,3,54,0
Cross.list-name-practitioners,3,0,0
Cross.list-name-practitioners-json,3,26,0
Cross.list-name-practitioners-xml,3,53,0
Cross.list-name-procedures,3,1,0
Cross.list-name-procedures-json,3,28,0
Cross.list-name-procedures-xml,3,60,0
Cross.list-name-provenances,3,0,0
Cross.list-name-provenances-json,3,21,0
Cross.list-name-provenances-xml,3,45,0
Cross.list-name-questionnaireresponses,3,1,0
Cross.list-name-questionnaireresponses-json,3,30,0
Cross.list-name-questionnaireresponses-xml,3,52,0
Cross.list-name-questionnaires,3,0,444
Cross.list-name-questionnaires-json,3,19,459
Cross.list-name-questionnaires-xml,3,38,456
Cross.list-name-relatedpeople,3,1,0
Cross.list-name-relatedpeople-json,3,25,0
Cross.list-name-relatedpeople-xml,3,51,0
Cross.list-name-requestgroups,3,0,0
Cross.list-name-requestgroups-json,3,23,0
Cross.list-name-requestgroups-xml,3,47,0
Cross.list-name-requirements,3,1,0
Cross.list-name-requirements-json,3,40,0
Cross.list-name-requirements-xml,3,56,0
Cross.list-name-researchdefinitions,3,2,0
Cross.list-name-researchdefinitions-json,3,31,0
Cross.list-name-researchdefinitions-xml,3,136,0
Cross.list-name-researchelementdefinitions,3,1,0
Cross.list-name-researchelementdefinitions-json,3,29,0
Cross.list-name-researchelementdefinitions-xml,3,49,0
Cross.list-name-researchstudies,3,2,0
Cross.list-name-researchstudies-json,3,26,0
Cross.list-name-researchstudies-xml,3,43,0
Cross.list-name-researchsubjects,3,2,0
Cross.list-name-researchsubjects-json,3,34,0
Cross.list-name-researchsubjects-xml,3,61,0
Cross.list-name-riskassessments,3,1,0
Cross.list-name-riskassessments-json,3,29,0
Cross.list-name-riskassessments-xml,3,61,0
Cross.list-name-riskevidencesyntheses,3,1,0
Cross.list-name-riskevidencesyntheses-json,3,33,0
Cross.list-name-riskevidencesyntheses-xml,3,66,0
Cross.list-name-schedules,3,0,0
Cross.list-name-schedules-json,3,24,0
Cross.list-name-schedules-xml,3,48,0
Cross.list-name-searchparameters,3,1,0
Cross.list-name-searchparameters-json,3,19,0
Cross.list-name-searchparameters-xml,3,37,0
Cross.list-name-servicerequests,3,1,0
Cross.list-name-servicerequests-json,3,27,0
Cross.list-name-servicerequests-xml,3,56,0
Cross.list-name-slots,3,1,0
Cross.list-name-slots-json,3,33,0
Cross.list-name-slots-xml,3,66,0
Cross.list-name-specimen,3,2,0
Cross.list-name-specimen-json,3,29,0
Cross.list-name-specimen-xml,3,50,0
Cross.list-name-specimendefinitions,3,0,0
Cross.list-name-specimendefinitions-json,3,33,0
Cross.list-name-specimendefinitions-xml,3,60,0
Cross.list-name-structuredefinitions,3,4,2166
Cross.list-name-structuredefinitions-json,3,23,2241
Cross.list-name-structuredefinitions-xml,3,41,2226
Cross.list-name-structuremaps,3,0,0
Cross.list-name-structuremaps-json,3,31,0
Cross.list-name-structuremaps-xml,3,59,0
Cross.list-name-subscriptions,3,0,0
Cross.list-name-subscriptions-json,3,26,0
Cross.list-name-subscriptions-xml,3,53,0
Cross.list-name-subscriptiontopics,3,1,0
Cross.list-name-subscriptiontopics-json,3,30,0
Cross.list-name-subscriptiontopics-xml,3,55,0
Cross.list-name-substancenucleicacids,3,0,0
Cross.list-name-substancenucleicacids-json,3,27,0
Cross.list-name-substancenucleicacids-xml,3,62,0
Cross.list-name-substancepolymers,3,1,0
Cross.list-name-substancepolymers-json,3,29,0
Cross.list-name-substancepolymers-xml,3,55,0
Cross.list-name-substanceproteins,3,1,0
Cross.list-name-substanceproteins-json,3,26,0
Cross.list-name-substanceproteins-xml,3,53,0
Cross.list-name-substancereferenceinformations,3,0,0
Cross.list-name-substancereferenceinformations-json,3,23,0
Cross.list-name-substancereferenceinformations-xml,3,48,0
Cross.list-name-substances,3,1,0
Cross.list-name-substances-json,3,28,0
Cross.list-name-substances-xml,3,48,0
Cross.list-name-substancesourcematerials,3,1,0
Cross.list-name-substancesourcematerials-json,3,26,0
Cross.list-name-substancesourcematerials-xml,3,50,0
Cross.list-name-substancespecifications,3,1,0
Cross.list-name-substancespecifications-json,3,22,0
Cross.list-name-substancespecifications-xml,3,40,0
Cross.list-name-supplydeliveries,3,1,0
Cross.list-name-supplydeliveries-json,3,35,0
Cross.list-name-supplydeliveries-xml,3,63,0
Cross.list-name-supplyrequests,3,1,0
Cross.list-name-supplyrequests-json,3,23,0
Cross.list-name-supplyrequests-xml,3,42,0
Cross.list-name-tasks,3,1,0
Cross.list-name-tasks-json,3,22,0
Cross.list-name-tasks-xml,3,43,0
Cross.list-name-terminologycapabilities,3,1,0
Cross.list-name-terminologycapabilities-json,3,21,0
Cross.list-name-terminologycapabilities-xml,3,42,0
Cross.list-name-testplans,3,0,0
Cross.list-name-testplans-json,3,22,0
Cross.list-name-testplans-xml,3,38,0
Cross.list-name-testreports,3,2,0
Cross.list-name-testreports-json,3,31,0
Cross.list-name-testreports-xml,3,59,0
Cross.list-name-testscripts,3,0,0
Cross.list-name-testscripts-json,3,26,0
Cross.list-name-testscripts-xml,3,54,0
Cross.list-name-valuesets,3,2,723
Cross.list-name-valuesets-json,3,18,753
Cross.list-name-valuesets-xml,3,31,747
Cross.list-name-verificationresults,3,1,0
Cross.list-name-verificationresults-json,3,23,0
Cross.list-name-verificationresults-xml,3,49,0
Cross.list-name-visionprescriptions,3,1,0
Cross.list-name-visionprescriptions-json,3,16,0
Cross.list-name-visionprescriptions-xml,3,39,0
Cross.list-namingsystems,3,1,0
Cross.list-namingsystems-json,3,25,0
Cross.list-namingsystems-xml,3,50,0
Cross.list-nutritionorders,3,0,0
Cross.list-nutritionorders-json,3,30,0
Cross.list-nutritionorders-xml,3,62,0
Cross.list-observationdefinitions,3,0,0
Cross.list-observationdefinitions-json,3,35,0
Cross.list-observationdefinitions-xml,3,60,0
Cross.list-observations,3,7,369
Cross.list-observations-json,3,34,384
Cross.list-observations-xml,3,65,381
Cross.list-operationdefinitions,3,1,0
Cross.list-operationdefinitions-json,3,22,0
Cross.list-operationdefinitions-xml,3,37,0
Cross.list-operationoutcomes,3,1,0
Cross.list-operationoutcomes-json,3,22,0
Cross.list-operationoutcomes-xml,3,44,0
Cross.list-organizationaffiliations,3,1,0
Cross.list-organizationaffiliations-json,3,28,0
Cross.list-organizationaffiliations-xml,3,62,0
Cross.list-organizations,3,1,0
Cross.list-organizations-json,3,35,0
Cross.list-organizations-xml,3,62,0
Cross.list-parameters,3,1,0
Cross.list-parameters-json,3,29,0
Cross.list-parameters-xml,3,60,0
Cross.list-patients,3,2,333
Cross.list-patients-json,3,27,348
Cross.list-patients-xml,3,52,345
Cross.list-paymentnotices,3,2,0
Cross.list-paymentnotices-json,3,29,0
Cross.list-paymentnotices-xml,3,55,0
Cross.list-paymentreconciliations,3,0,0
Cross.list-paymentreconciliations-json,3,30,0
Cross.list-paymentreconciliations-xml,3,56,0
Cross.list-people,3,0,0
Cross.list-people-json,3,30,0
Cross.list-people-xml,3,64,0
Cross.list-plandefinitions,3,0,0
Cross.list-plandefinitions-json,3,20,0
Cross.list-plandefinitions-xml,3,41,0
Cross.list-practitionerroles,3,0,0
Cross.list-practitionerroles-json,3,21,0
Cross.list-practitionerroles-xml,3,45,0
Cross.list-practitioners,3,0,0
Cross.list-practitioners-json,3,21,0
Cross.list-practitioners-xml,3,45,0
Cross.list-procedures,3,0,0
Cross.list-procedures-json,3,25,0
Cross.list-procedures-xml,3,50,0
Cross.list-profiles,3,3,1356
Cross.list-profiles-mm,3,25,2202
Cross.list-provenances,3,1,0
Cross.list-provenances-json,3,18,0
Cross.list-provenances-xml,3,32,0
Cross.list-questionnaireresponses,3,1,0
Cross.list-questionnaireresponses-json,3,17,0
Cross.list-questionnaireresponses-xml,3,36,0
Cross.list-questionnaires,3,0,444
Cross.list-questionnaires-json,3,19,459
Cross.list-questionnaires-xml,3,39,456
Cross.list-relatedpeople,3,0,0
Cross.list-relatedpeople-json,3,27,0
Cross.list-relatedpeople-xml,3,50,0
Cross.list-requestgroups,3,0,0
Cross.list-requestgroups-json,3,22,0
Cross.list-requestgroups-xml,3,43,0
Cross.list-requirements,3,1,0
Cross.list-requirements-json,3,18,0
Cross.list-requirements-xml,3,36,0
Cross.list-researchdefinitions,3,0,0
Cross.list-researchdefinitions-json,3,26,0
Cross.list-researchdefinitions-xml,3,51,0
Cross.list-researchelementdefinitions,3,0,0
Cross.list-researchelementdefinitions-json,3,29,0
Cross.list-researchelementdefinitions-xml,3,53,0
Cross.list-researchstudies,3,0,0
Cross.list-researchstudies-json,3,16,0
Cross.list-researchstudies-xml,3,34,0
Cross.list-researchsubjects,3,1,0
Cross.list-researchsubjects-json,3,32,0
Cross.list-researchsubjects-xml,3,59,0
Cross.list-riskassessments,3,0,0
Cross.list-riskassessments-json,3,25,0
Cross.list-riskassessments-xml,3,59,0
Cross.list-riskevidencesyntheses,3,0,0
Cross.list-riskevidencesyntheses-json,3,27,0
Cross.list-riskevidencesyntheses-xml,3,54,0
Cross.list-schedules,3,1,0
Cross.list-schedules-json,3,15,0
Cross.list-schedules-xml,3,35,0
Cross.list-searchparameters,3,0,0
Cross.list-searchparameters-json,3,18,0
Cross.list-searchparameters-xml,3,36,0
Cross.list-servicerequests,3,1,0
Cross.list-servicerequests-json,3,27,0
Cross.list-servicerequests-xml,3,53,0
Cross.list-simple-accounts,3,15,0
Cross.list-simple-accounts-json,3,49,0
Cross.list-simple-accounts-xml,3,88,0
Cross.list-simple-activitydefinitions,3,6,0
Cross.list-simple-activitydefinitions-json,3,28,0
Cross.list-simple-activitydefinitions-xml,3,49,0
Cross.list-simple-actordefinitions,3,13,207
Cross.list-simple-actordefinitions-json,3,40,222
Cross.list-simple-actordefinitions-xml,3,66,219
Cross.list-simple-adverseevents,3,11,0
Cross.list-simple-adverseevents-json,3,39,0
Cross.list-simple-adverseevents-xml,3,70,0
Cross.list-simple-allergyintolerances,3,5,0
Cross.list-simple-allergyintolerances-json,3,19,0
Cross.list-simple-allergyintolerances-xml,3,32,0
Cross.list-simple-appointmentresponses,3,7,0
Cross.list-simple-appointmentresponses-json,3,35,0
Cross.list-simple-appointmentresponses-xml,3,64,0
Cross.list-simple-appointments,3,14,0
Cross.list-simple-appointments-json,3,47,0
Cross.list-simple-appointments-xml,3,87,0
Cross.list-simple-auditevents,3,10,0
Cross.list-simple-auditevents-json,3,43,0
Cross.list-simple-auditevents-xml,3,74,0
Cross.list-simple-basics,3,12,0
Cross.list-simple-basics-json,3,45,0
Cross.list-simple-basics-xml,3,70,0
Cross.list-simple-binaries,3,7,639
Cross.list-simple-binaries-json,3,45,684
Cross.list-simple-binaries-xml,3,76,675
Cross.list-simple-biologicallyderivedproducts,3,7,0
Cross.list-simple-biologicallyderivedproducts-json,3,22,0
Cross.list-simple-biologicallyderivedproducts-xml,3,38,0
Cross.list-simple-bodystructures,3,9,0
Cross.list-simple-bodystructures-json,3,38,0
Cross.list-simple-bodystructures-xml,3,66,0
Cross.list-simple-bundles,3,12,150
Cross.list-simple-bundles-json,3,44,165
Cross.list-simple-bundles-xml,3,77,162
Cross.list-simple-byid-accounts,3,12,0
Cross.list-simple-byid-accounts-json,3,47,0
Cross.list-simple-byid-accounts-xml,3,81,0
Cross.list-simple-byid-activitydefinitions,3,10,0
Cross.list-simple-byid-activitydefinitions-json,3,38,0
Cross.list-simple-byid-activitydefinitions-xml,3,66,0
Cross.list-simple-byid-actordefinitions,3,14,207
Cross.list-simple-byid-actordefinitions-json,3,53,222
Cross.list-simple-byid-actordefinitions-xml,3,86,219
Cross.list-simple-byid-adverseevents,3,12,0
Cross.list-simple-byid-adverseevents-json,3,46,0
Cross.list-simple-byid-adverseevents-xml,3,76,0
Cross.list-simple-byid-allergyintolerances,3,6,0
Cross.list-simple-byid-allergyintolerances-json,3,24,0
Cross.list-simple-byid-allergyintolerances-xml,3,39,0
Cross.list-simple-byid-appointmentresponses,3,9,0
Cross.list-simple-byid-appointmentresponses-json,3,31,0
Cross.list-simple-byid-appointmentresponses-xml,3,57,0
Cross.list-simple-byid-appointments,3,11,0
Cross.list-simple-byid-appointments-json,3,50,0
Cross.list-simple-byid-appointments-xml,3,89,0
Cross.list-simple-byid-auditevents,3,9,0
Cross.list-simple-byid-auditevents-json,3,39,0
Cross.list-simple-byid-auditevents-xml,3,72,0
Cross.list-simple-byid-basics,3,11,0
Cross.list-simple-byid-basics-json,3,45,0
Cross.list-simple-byid-basics-xml,3,79,0
Cross.list-simple-byid-binaries,3,14,639
Cross.list-simple-byid-binaries-json,3,50,684
Cross.list-simple-byid-binaries-xml,3,82,675
Cross.list-simple-byid-biologicallyderivedproducts,3,5,0
Cross.list-simple-byid-biologicallyderivedproducts-json,3,22,0
Cross.list-simple-byid-biologicallyderivedproducts-xml,3,39,0
Cross.list-simple-byid-bodystructures,3,10,0
Cross.list-simple-byid-bodystructures-json,3,36,0
Cross.list-simple-byid-bodystructures-xml,3,63,0
Cross.list-simple-byid-bundles,3,12,150
Cross.list-simple-byid-bundles-json,3,37,165
Cross.list-simple-byid-bundles-xml,3,69,162
Cross.list-simple-byid-capabilitystatements,3,14,0
Cross.list-simple-byid-capabilitystatements-json,3,47,0
Cross.list-simple-byid-capabilitystatements-xml,3,76,0
Cross.list-simple-byid-careplans,3,5,0
Cross.list-simple-byid-careplans-json,3,17,0
Cross.list-simple-byid-careplans-xml,3,30,0
Cross.list-simple-byid-careteams,3,9,0
Cross.list-simple-byid-careteams-json,3,36,0
Cross.list-simple-byid-careteams-xml,3,70,0
Cross.list-simple-byid-catalogentries,3,8,0
Cross.list-simple-byid-catalogentries-json,3,34,0
Cross.list-simple-byid-catalogentries-xml,3,59,0
Cross.list-simple-byid-chargeitemdefinitions,3,6,0
Cross.list-simple-byid-chargeitemdefinitions-json,3,23,0
Cross.list-simple-byid-chargeitemdefinitions-xml,3,45,0
Cross.list-simple-byid-chargeitems,3,9,0
Cross.list-simple-byid-chargeitems-json,3,38,0
Cross.list-simple-byid-chargeitems-xml,3,59,0
Cross.list-simple-byid-claimresponses,3,9,0
Cross.list-simple-byid-claimresponses-json,3,32,0
Cross.list-simple-byid-claimresponses-xml,3,59,0
Cross.list-simple-byid-claims,3,9,0
Cross.list-simple-byid-claims-json,3,38,0
Cross.list-simple-byid-claims-xml,3,69,0
Cross.list-simple-byid-clinicalimpressions,3,8,0
Cross.list-simple-byid-clinicalimpressions-json,3,28,0
Cross.list-simple-byid-clinicalimpressions-xml,3,51,0
Cross.list-simple-byid-codesystems,3,9,195
Cross.list-simple-byid-codesystems-json,3,24,210
Cross.list-simple-byid-codesystems-xml,3,37,207
Cross.list-simple-byid-communicationrequests,3,7,0
Cross.list-simple-byid-communicationrequests-json,3,28,0
Cross.list-simple-byid-communicationrequests-xml,3,54,0
Cross.list-simple-byid-communications,3,9,0
Cross.list-simple-byid-communications-json,3,42,0
Cross.list-simple-byid-communications-xml,3,75,0
Cross.list-simple-byid-compartmentdefinitions,3,11,0
Cross.list-simple-byid-compartmentdefinitions-json,3,38,0
Cross.list-simple-byid-compartmentdefinitions-xml,3,68,0
Cross.list-simple-byid-compositions,3,10,0
Cross.list-simple-byid-compositions-json,3,36,0
Cross.list-simple-byid-compositions-xml,3,61,0
Cross.list-simple-byid-conceptmaps,3,6,0
Cross.list-simple-byid-conceptmaps-json,3,20,0
Cross.list-simple-byid-conceptmaps-xml,3,42,0
Cross.list-simple-byid-conditions,3,13,0
Cross.list-simple-byid-conditions-json,3,52,0
Cross.list-simple-byid-conditions-xml,3,84,0
Cross.list-simple-byid-consents,3,12,0
Cross.list-simple-byid-consents-json,3,48,0
Cross.list-simple-byid-consents-xml,3,85,0
Cross.list-simple-byid-contracts,3,11,0
Cross.list-simple-byid-contracts-json,3,43,0
Cross.list-simple-byid-contracts-xml,3,69,0
Cross.list-simple-byid-coverageeligibilityrequests,3,5,0
Cross.list-simple-byid-coverageeligibilityrequests-json,3,24,0
Cross.list-simple-byid-coverageeligibilityrequests-xml,3,43,0
Cross.list-simple-byid-coverageeligibilityresponses,3,9,0
Cross.list-simple-byid-coverageeligibilityresponses-json,3,37,0
Cross.list-simple-byid-coverageeligibilityresponses-xml,3,62,0
Cross.list-simple-byid-coverages,3,7,0
Cross.list-simple-byid-coverages-json,3,28,0
Cross.list-simple-byid-coverages-xml,3,50,0
Cross.list-simple-byid-detectedissues,3,12,0
Cross.list-simple-byid-detectedissues-json,3,48,0
Cross.list-simple-byid-detectedissues-xml,3,83,0
Cross.list-simple-byid-devicedefinitions,3,7,0
Cross.list-simple-byid-devicedefinitions-json,3,25,0
Cross.list-simple-byid-devicedefinitions-xml,3,53,0
Cross.list-simple-byid-devicemetrics,3,5,0
Cross.list-simple-byid-devicemetrics-json,3,22,0
Cross.list-simple-byid-devicemetrics-xml,3,44,0
Cross.list-simple-byid-devicerequests,3,13,0
Cross.list-simple-byid-devicerequests-json,3,36,0
Cross.list-simple-byid-devicerequests-xml,3,58,0
Cross.list-simple-byid-devices,3,7,0
Cross.list-simple-byid-devices-json,3,22,0
Cross.list-simple-byid-devices-xml,3,34,0
Cross.list-simple-byid-deviceusestatements,3,7,0
Cross.list-simple-byid-deviceusestatements-json,3,35,0
Cross.list-simple-byid-deviceusestatements-xml,3,63,0
Cross.list-simple-byid-diagnosticreports,3,13,0
Cross.list-simple-byid-diagnosticreports-json,3,40,0
Cross.list-simple-byid-diagnosticreports-xml,3,69,0
Cross.list-simple-byid-documentmanifests,3,11,0
Cross.list-simple-byid-documentmanifests-json,3,45,0
Cross.list-simple-byid-documentmanifests-xml,3,87,0
Cross.list-simple-byid-documentreferences,3,11,0
Cross.list-simple-byid-documentreferences-json,3,49,0
Cross.list-simple-byid-documentreferences-xml,3,76,0
Cross.list-simple-byid-domainresources,3,9,0
Cross.list-simple-byid-domainresources-json,3,39,0
Cross.list-simple-byid-domainresources-xml,3,73,0
Cross.list-simple-byid-effectevidencesyntheses,3,6,0
Cross.list-simple-byid-effectevidencesyntheses-json,3,26,0
Cross.list-simple-byid-effectevidencesyntheses-xml,3,48,0
Cross.list-simple-byid-encounters,3,8,0
Cross.list-simple-byid-encounters-json,3,37,0
Cross.list-simple-byid-encounters-xml,3,68,0
Cross.list-simple-byid-endpoints,3,15,0
Cross.list-simple-byid-endpoints-json,3,56,0
Cross.list-simple-byid-endpoints-xml,3,95,0
Cross.list-simple-byid-enrollmentrequests,3,15,0
Cross.list-simple-byid-enrollmentrequests-json,3,47,0
Cross.list-simple-byid-enrollmentrequests-xml,3,77,0
Cross.list-simple-byid-enrollmentresponses,3,5,0
Cross.list-simple-byid-enrollmentresponses-json,3,31,0
Cross.list-simple-byid-enrollmentresponses-xml,3,58,0
Cross.list-simple-byid-episodeofcares,3,7,0
Cross.list-simple-byid-episodeofcares-json,3,21,0
Cross.list-simple-byid-episodeofcares-xml,3,60,0
Cross.list-simple-byid-eventdefinitions,3,13,0
Cross.list-simple-byid-eventdefinitions-json,3,52,0
Cross.list-simple-byid-eventdefinitions-xml,3,88,0
Cross.list-simple-byid-evidences,3,9,0
Cross.list-simple-byid-evidences-json,3,37,0
Cross.list-simple-byid-evidences-xml,3,62,0
Cross.list-simple-byid-evidencevariables,3,5,0
Cross.list-simple-byid-evidencevariables-json,3,24,0
Cross.list-simple-byid-evidencevariables-xml,3,47,0
Cross.list-simple-byid-examplescenarios,3,10,0
Cross.list-simple-byid-examplescenarios-json,3,28,0
Cross.list-simple-byid-examplescenarios-xml,3,47,0
Cross.list-simple-byid-explanationofbenefits,3,9,0
Cross.list-simple-byid-explanationofbenefits-json,3,27,0
Cross.list-simple-byid-explanationofbenefits-xml,3,43,0
Cross.list-simple-byid-familymemberhistories,3,8,0
Cross.list-simple-byid-familymemberhistories-json,3,37,0
Cross.list-simple-byid-familymemberhistories-xml,3,73,0
Cross.list-simple-byid-flags,3,34,0
Cross.list-simple-byid-flags-json,3,52,0
Cross.list-simple-byid-flags-xml,3,71,0
Cross.list-simple-byid-goals,3,11,0
Cross.list-simple-byid-goals-json,3,45,0
Cross.list-simple-byid-goals-xml,3,81,0
Cross.list-simple-byid-graphdefinitions,3,11,0
Cross.list-simple-byid-graphdefinitions-json,3,46,0
Cross.list-simple-byid-graphdefinitions-xml,3,71,0
Cross.list-simple-byid-groups,3,15,0
Cross.list-simple-byid-groups-json,3,48,0
Cross.list-simple-byid-groups-xml,3,82,0
Cross.list-simple-byid-guidanceresponses,3,11,0
Cross.list-simple-byid-guidanceresponses-json,3,40,0
Cross.list-simple-byid-guidanceresponses-xml,3,66,0
Cross.list-simple-byid-healthcareservices,3,8,0
Cross.list-simple-byid-healthcareservices-json,3,36,0
Cross.list-simple-byid-healthcareservices-xml,3,58,0
Cross.list-simple-byid-imagingstudies,3,11,0
Cross.list-simple-byid-imagingstudies-json,3,36,0
Cross.list-simple-byid-imagingstudies-xml,3,70,0
Cross.list-simple-byid-immunizationevaluations,3,10,0
Cross.list-simple-byid-immunizationevaluations-json,3,33,0
Cross.list-simple-byid-immunizationevaluations-xml,3,60,0
Cross.list-simple-byid-immunizationrecommendations,3,6,0
Cross.list-simple-byid-immunizationrecommendations-json,3,22,0
Cross.list-simple-byid-immunizationrecommendations-xml,3,39,0
Cross.list-simple-byid-immunizations,3,6,0
Cross.list-simple-byid-immunizations-json,3,24,0
Cross.list-simple-byid-immunizations-xml,3,39,0
Cross.list-simple-byid-implementationguides,3,9,222
Cross.list-simple-byid-implementationguides-json,3,34,237
Cross.list-simple-byid-implementationguides-xml,3,62,234
Cross.list-simple-byid-insuranceplans,3,9,0
Cross.list-simple-byid-insuranceplans-json,3,33,0
Cross.list-simple-byid-insuranceplans-xml,3,59,0
Cross.list-simple-byid-invoices,3,9,0
Cross.list-simple-byid-invoices-json,3,29,0
Cross.list-simple-byid-invoices-xml,3,53,0
Cross.list-simple-byid-libraries,3,13,618
Cross.list-simple-byid-libraries-json,3,49,663
Cross.list-simple-byid-libraries-xml,3,82,654
Cross.list-simple-byid-linkages,3,7,0
Cross.list-simple-byid-linkages-json,3,41,0
Cross.list-simple-byid-linkages-xml,3,67,0
Cross.list-simple-byid-lists,3,7,0
Cross.list-simple-byid-lists-json,3,28,0
Cross.list-simple-byid-lists-xml,3,47,0
Cross.list-simple-byid-locations,3,29,0
Cross.list-simple-byid-locations-json,3,87,0
Cross.list-simple-byid-locations-xml,3,109,0
Cross.list-simple-byid-measurereports,3,18,0
Cross.list-simple-byid-measurereports-json,3,46,0
Cross.list-simple-byid-measurereports-xml,3,68,0
Cross.list-simple-byid-measures,3,7,0
Cross.list-simple-byid-measures-json,3,34,0
Cross.list-simple-byid-measures-xml,3,56,0
Cross.list-simple-byid-media,3,6,0
Cross.list-simple-byid-media-json,3,29,0
Cross.list-simple-byid-media-xml,3,44,0
Cross.list-simple-byid-medicationadministrations,3,10,0
Cross.list-simple-byid-medicationadministrations-json,3,39,0
Cross.list-simple-byid-medicationadministrations-xml,3,73,0
Cross.list-simple-byid-medicationdispenses,3,10,0
Cross.list-simple-byid-medicationdispenses-json,3,37,0
Cross.list-simple-byid-medicationdispenses-xml,3,64,0
Cross.list-simple-byid-medicationknowledges,3,12,0
Cross.list-simple-byid-medicationknowledges-json,3,41,0
Cross.list-simple-byid-medicationknowledges-xml,3,72,0
Cross.list-simple-byid-medicationrequests,3,13,0
Cross.list-simple-byid-medicationrequests-json,3,34,0
Cross.list-simple-byid-medicationrequests-xml,3,58,0
Cross.list-simple-byid-medications,3,10,0
Cross.list-simple-byid-medications-json,3,44,0
Cross.list-simple-byid-medications-xml,3,76,0
Cross.list-simple-byid-medicationstatements,3,9,0
Cross.list-simple-byid-medicationstatements-json,3,35,0
Cross.list-simple-byid-medicationstatements-xml,3,65,0
Cross.list-simple-byid-medicinalproductauthorizations,3,12,0
Cross.list-simple-byid-medicinalproductauthorizations-json,3,46,0
Cross.list-simple-byid-medicinalproductauthorizations-xml,3,71,0
Cross.list-simple-byid-medicinalproductcontraindications,3,7,0
Cross.list-simple-byid-medicinalproductcontraindications-json,3,21,0
Cross.list-simple-byid-medicinalproductcontraindications-xml,3,37,0
Cross.list-simple-byid-medicinalproductindications,3,10,0
Cross.list-simple-byid-medicinalproductindications-json,3,36,0
Cross.list-simple-byid-medicinalproductindications-xml,3,65,0
Cross.list-simple-byid-medicinalproductingredients,3,13,0
Cross.list-simple-byid-medicinalproductingredients-json,3,40,0
Cross.list-simple-byid-medicinalproductingredients-xml,3,74,0
Cross.list-simple-byid-medicinalproductinteractions,3,11,0
Cross.list-simple-byid-medicinalproductinteractions-json,3,41,0
Cross.list-simple-byid-medicinalproductinteractions-xml,3,75,0
Cross.list-simple-byid-medicinalproductmanufactureds,3,10,0
Cross.list-simple-byid-medicinalproductmanufactureds-json,3,35,0
Cross.list-simple-byid-medicinalproductmanufactureds-xml,3,60,0
Cross.list-simple-byid-medicinalproductpackageds,3,15,0
Cross.list-simple-byid-medicinalproductpackageds-json,3,57,0
Cross.list-simple-byid-medicinalproductpackageds-xml,3,97,0
Cross.list-simple-byid-medicinalproductpharmaceuticals,3,7,0
Cross.list-simple-byid-medicinalproductpharmaceuticals-json,3,27,0
Cross.list-simple-byid-medicinalproductpharmaceuticals-xml,3,48,0
Cross.list-simple-byid-medicinalproducts,3,8,0
Cross.list-simple-byid-medicinalproducts-json,3,25,0
Cross.list-simple-byid-medicinalproducts-xml,3,42,0
Cross.list-simple-byid-medicinalproductundesirableeffects,3,8,0
Cross.list-simple-byid-medicinalproductundesirableeffects-json,3,29,0
Cross.list-simple-byid-medicinalproductundesirableeffects-xml,3,48,0
Cross.list-simple-byid-messagedefinitions,3,14,0
Cross.list-simple-byid-messagedefinitions-json,3,51,0
Cross.list-simple-byid-messagedefinitions-xml,3,91,0
Cross.list-simple-byid-messageheaders,3,10,0
Cross.list-simple-byid-messageheaders-json,3,44,0
Cross.list-simple-byid-messageheaders-xml,3,78,0
Cross.list-simple-byid-molecularsequences,3,5,0
Cross.list-simple-byid-molecularsequences-json,3,18,0
Cross.list-simple-byid-molecularsequences-xml,3,32,0
Cross.list-simple-byid-namingsystems,3,7,0
Cross.list-simple-byid-namingsystems-json,3,26,0
Cross.list-simple-byid-namingsystems-xml,3,47,0
Cross.list-simple-byid-nutritionorders,3,12,0
Cross.list-simple-byid-nutritionorders-json,3,51,0
Cross.list-simple-byid-nutritionorders-xml,3,92,0
Cross.list-simple-byid-observationdefinitions,3,11,0
Cross.list-simple-byid-observationdefinitions-json,3,39,0
Cross.list-simple-byid-observationdefinitions-xml,3,66,0
Cross.list-simple-byid-observations,3,15,210
Cross.list-simple-byid-observations-json,3,50,225
Cross.list-simple-byid-observations-xml,3,89,222
Cross.list-simple-byid-operationdefinitions,3,6,0
Cross.list-simple-byid-operationdefinitions-json,3,24,0
Cross.list-simple-byid-operationdefinitions-xml,3,40,0
Cross.list-simple-byid-operationoutcomes,3,4,0
Cross.list-simple-byid-operationoutcomes-json,3,20,0
Cross.list-simple-byid-operationoutcomes-xml,3,38,0
Cross.list-simple-byid-organizationaffiliations,3,9,0
Cross.list-simple-byid-organizationaffiliations-json,3,37,0
Cross.list-simple-byid-organizationaffiliations-xml,3,63,0
Cross.list-simple-byid-organizations,3,8,0
Cross.list-simple-byid-organizations-json,3,33,0
Cross.list-simple-byid-organizations-xml,3,64,0
Cross.list-simple-byid-parameters,3,12,0
Cross.list-simple-byid-parameters-json,3,43,0
Cross.list-simple-byid-parameters-xml,3,75,0
Cross.list-simple-byid-patients,3,10,186
Cross.list-simple-byid-patients-json,3,37,201
Cross.list-simple-byid-patients-xml,3,60,198
Cross.list-simple-byid-paymentnotices,3,11,0
Cross.list-simple-byid-paymentnotices-json,3,40,0
Cross.list-simple-byid-paymentnotices-xml,3,69,0
