Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-conditions-json,3,37,0
Cross.list-byid-conditions-xml,3,75,0
Cross.list-byid-consents,3,0,0
Cross.list-byid-consents-json,3,36,0
Cross.list-byid-consents-xml,3,72,0
Cross.list-byid-contracts,3,1,0
Cross.list-byid-contracts-json,3,34,0
Cross.list-byid-contracts-xml,3,61,0
Cross.list-byid-coverageeligibilityrequests,3,0,0
Cross.list-byid-coverageeligibilityrequests-json,3,18,0
Cross.list-byid-coverageeligibilityrequests-xml,3,37,0
Cross.list-byid-coverageeligibilityresponses,3,1,0
Cross.list-byid-coverageeligibilityresponses-json,3,28,0
Cross.list-byid-coverageeligibilityresponses-xml,3,53,0
Cross.list-byid-coverages,3,0,0
Cross.list-byid-coverages-json,3,17,0
Cross.list-byid-coverages-xml,3,45,0
Cross.list-byid-detectedissues,3,1,0
Cross.list-byid-detectedissues-json,3,37,0
Cross.list-byid-detectedissues-xml,3,71,0
Cross.list-byid-devicedefinitions,3,0,0
Cross.list-byid-devicedefinitions-json,3,18,0
Cross.list-byid-devicedefinitions-xml,3,40,0
Cross.list-byid-devicemetrics,3,0,0
Cross.list-byid-devicemetrics-json,3,18,0
Cross.list-byid-devicemetrics-xml,3,36,0
Cross.list-byid-devicerequests,3,2,0
Cross.list-byid-devicerequests-json,3,29,0
Cross.list-byid-devicerequests-xml,3,52,0
Cross.list-byid-devices,3,0,0
Cross.list-byid-devices-json,3,16,0
Cross.list-byid-devices-xml,3,31,0
Cross.list-byid-deviceusestatements,3,1,0
Cross.list-byid-deviceusestatements-json,3,26,0
Cross.list-byid-deviceusestatements-xml,3,54,0
Cross.list-byid-diagnosticreports,3,2,0
Cross.list-byid-diagnosticreports-json,3,32,0
Cross.list-byid-diagnosticreports-xml,3,59,0
Cross.list-byid-documentmanifests,3,0,0
Cross.list-byid-documentmanifests-json,3,32,0
Cross.list-byid-documentmanifests-xml,3,72,0
Cross.list-byid-documentreferences,3,2,0
Cross.list-byid-documentreferences-json,3,37,0
Cross.list-byid-documentreferences-xml,3,67,0
Cross.list-byid-domainresources,3,0,0
Cross.list-byid-domainresources-json,3,30,0
Cross.list-byid-domainresources-xml,3,62,0
Cross.list-byid-effectevidencesyntheses,3,0,0
Cross.list-byid-effectevidencesyntheses-json,3,18,0
Cross.list-byid-effectevidencesyntheses-xml,3,40,0
Cross.list-byid-encounters,3,1,0
Cross.list-byid-encounters-json,3,27,0
Cross.list-byid-encounters-xml,3,57,0
Cross.list-byid-endpoints,3,0,0
Cross.list-byid-endpoints-json,3,43,0
Cross.list-byid-endpoints-xml,3,82,0
Cross.list-byid-enrollmentrequests,3,0,0
Cross.list-byid-enrollmentrequests-json,3,35,0
Cross.list-byid-enrollmentrequests-xml,3,66,0
Cross.list-byid-enrollmentresponses,3,0,0
Cross.list-byid-enrollmentresponses-json,3,24,0
Cross.list-byid-enrollmentresponses-xml,3,49,0
Cross.list-byid-episodeofcares,3,1,0
Cross.list-byid-episodeofcares-json,3,18,0
Cross.list-byid-episodeofcares-xml,3,39,0
Cross.list-byid-eventdefinitions,3,0,0
Cross.list-byid-eventdefinitions-json,3,41,0
Cross.list-byid-eventdefinitions-xml,3,73,0
Cross.list-byid-evidences,3,1,0
Cross.list-byid-evidences-json,3,28,0
Cross.list-byid-evidences-xml,3,55,0
Cross.list-byid-evidencevariables,3,0,0
Cross.list-byid-evidencevariables-json,3,19,0
Cross.list-byid-evidencevariables-xml,3,40,0
Cross.list-byid-examplescenarios,3,0,0
Cross.list-byid-examplescenarios-json,3,22,0
Cross.list-byid-examplescenarios-xml,3,41,0
Cross.list-byid-explanationofbenefits,3,1,0
Cross.list-byid-explanationofbenefits-json,3,22,0
Cross.list-byid-explanationofbenefits-xml,3,38,0
Cross.list-byid-familymemberhistories,3,1,0
Cross.list-byid-familymemberhistories-json,3,26,0
Cross.list-byid-familymemberhistories-xml,3,61,0
Cross.list-byid-flags,3,0,0
Cross.list-byid-flags-json,3,47,0
Cross.list-byid-flags-xml,3,64,0
Cross.list-byid-goals,3,0,0
Cross.list-byid-goals-json,3,35,0
Cross.list-byid-goals-xml,3,69,0
Cross.list-byid-graphdefinitions,3,1,0
Cross.list-byid-graphdefinitions-json,3,34,0
Cross.list-byid-graphdefinitions-xml,3,65,0
Cross.list-byid-groups,3,0,0
Cross.list-byid-groups-json,3,36,0
Cross.list-byid-groups-xml,3,70,0
Cross.list-byid-guidanceresponses,3,0,0
Cross.list-byid-guidanceresponses-json,3,31,0
Cross.list-byid-guidanceresponses-xml,3,59,0
Cross.list-byid-healthcareservices,3,1,0
Cross.list-byid-healthcareservices-json,3,26,0
Cross.list-byid-healthcareservices-xml,3,50,0
Cross.list-byid-imagingstudies,3,1,0
Cross.list-byid-imagingstudies-json,3,28,0
Cross.list-byid-imagingstudies-xml,3,61,0
Cross.list-byid-immunizationevaluations,3,0,0
Cross.list-byid-immunizationevaluations-json,3,25,0
Cross.list-byid-immunizationevaluations-xml,3,49,0
Cross.list-byid-immunizationrecommendations,3,0,0
Cross.list-byid-immunizationrecommendations-json,3,17,0
Cross.list-byid-immunizationrecommendations-xml,3,34,0
Cross.list-byid-immunizations,3,0,0
Cross.list-byid-immunizations-json,3,17,0
Cross.list-byid-immunizations-xml,3,33,0
Cross.list-byid-implementationguides,3,2,501
Cross.list-byid-implementationguides-json,3,26,516
Cross.list-byid-implementationguides-xml,3,53,513
Cross.list-byid-insuranceplans,3,1,0
Cross.list-byid-insuranceplans-json,3,25,0
Cross.list-byid-insuranceplans-xml,3,49,0
Cross.list-byid-invoices,3,0,0
Cross.list-byid-invoices-json,3,23,0
Cross.list-byid-invoices-xml,3,45,0
Cross.list-byid-libraries,3,2,810
Cross.list-byid-libraries-json,3,40,855
Cross.list-byid-libraries-xml,3,72,846
Cross.list-byid-linkages,3,0,0
Cross.list-byid-linkages-json,3,28,0
Cross.list-byid-linkages-xml,3,58,0
Cross.list-byid-lists,3,1,0
Cross.list-byid-lists-json,3,22,0
Cross.list-byid-lists-xml,3,43,0
Cross.list-byid-locations,3,1,0
Cross.list-byid-locations-json,3,78,0
Cross.list-byid-locations-xml,3,101,0
Cross.list-byid-measurereports,3,2,0
Cross.list-byid-measurereports-json,3,38,0
Cross.list-byid-measurereports-xml,3,61,0
Cross.list-byid-measures,3,0,0
Cross.list-byid-measures-json,3,27,0
Cross.list-byid-measures-xml,3,48,0
Cross.list-byid-media,3,0,0
Cross.list-byid-media-json,3,23,0
Cross.list-byid-media-xml,3,39,0
Cross.list-byid-medicationadministrations,3,0,0
Cross.list-byid-medicationadministrations-json,3,30,0
Cross.list-byid-medicationadministrations-xml,3,63,0
Cross.list-byid-medicationdispenses,3,1,0
Cross.list-byid-medicationdispenses-json,3,27,0
Cross.list-byid-medicationdispenses-xml,3,57,0
Cross.list-byid-medicationknowledges,3,2,0
Cross.list-byid-medicationknowledges-json,3,33,0
Cross.list-byid-medicationknowledges-xml,3,61,0
Cross.list-byid-medicationrequests,3,0,0
Cross.list-byid-medicationrequests-json,3,29,0
Cross.list-byid-medicationrequests-xml,3,51,0
Cross.list-byid-medications,3,0,0
Cross.list-byid-medications-json,3,32,0
Cross.list-byid-medications-xml,3,65,0
Cross.list-byid-medicationstatements,3,2,0
